pair_key,node_idx,tender_id,country,attention,is_cartel_pair,tender_label,pred_prob
usa_12_14,1767,1071,usa,0.33668777,0,0,1.3250569e-05
usa_14_106,1767,1071,usa,0.4704949,0,0,1.3250569e-05
usa_12_106,1767,1071,usa,0.19281732,0,0,1.3250569e-05
usa_12_106,1768,1073,usa,0.25879952,0,0,2.5711357e-05
usa_14_106,1768,1073,usa,0.4011419,0,0,2.5711357e-05
usa_12_14,1768,1073,usa,0.3400586,0,0,2.5711357e-05
usa_12_14,1769,1077,usa,0.33839706,0,0,2.8674034e-05
usa_14_106,1769,1077,usa,0.3754471,0,0,2.8674034e-05
usa_12_106,1769,1077,usa,0.28615585,0,0,2.8674034e-05
usa_14_106,1770,1078,usa,1.0,0,0,8.636834e-08
usa_73_104,1772,1080,usa,1.0,1,0,0.001067965
usa_3_10,1773,1081,usa,1.0,1,0,2.440669e-06
usa_43_64,1774,1083,usa,0.010914173,1,1,0.9996773
usa_43_99,1774,1083,usa,0.34619278,1,1,0.9996773
usa_64_99,1774,1083,usa,0.6428931,1,1,0.9996773
usa_15_112,1775,1087,usa,1.0,0,0,2.9022186e-07
usa_104_106,1776,1089,usa,1.0,0,0,1.1695122e-05
usa_3_73,1777,1091,usa,1.0,1,0,0.00016321146
usa_3_73,1778,1092,usa,0.22978447,1,0,5.5762375e-05
usa_6_73,1778,1092,usa,0.5903332,0,0,5.5762375e-05
usa_3_6,1778,1092,usa,0.17988232,0,0,5.5762375e-05
usa_32_73,1779,1094,usa,1.0,0,0,0.00028173145
usa_43_99,1780,1096,usa,1.0,1,1,0.99987555
usa_73_104,1781,1099,usa,1.0,1,0,0.0012804075
usa_43_64,1782,1100,usa,0.020310929,1,1,0.99973935
usa_43_99,1782,1100,usa,0.36578327,1,1,0.99973935
usa_64_99,1782,1100,usa,0.61390585,1,1,0.99973935
usa_69_73,1783,1103,usa,0.35410067,1,0,0.0028146717
usa_73_99,1783,1103,usa,0.28120074,1,0,0.0028146717
usa_58_69,1783,1103,usa,0.3646986,0,0,0.0028146717
usa_8_104,1784,1104,usa,1.0,0,0,5.8398033e-05
usa_14_106,1785,1107,usa,1.0,0,0,8.636768e-08
usa_15_112,1786,1109,usa,0.12619723,0,0,3.9303647e-08
usa_15_113,1786,1109,usa,0.46301824,0,0,3.9303647e-08
usa_112_113,1786,1109,usa,0.41078454,0,0,3.9303647e-08
usa_99_113,1787,1111,usa,1.0,0,0,6.1296174e-05
usa_10_99,1788,1112,usa,1.0,1,0,0.00021008289
usa_38_50,1789,1113,usa,1.0,1,0,0.004195509
usa_47_84,1790,1115,usa,1.0,0,0,3.195538e-07
usa_12_43,1791,1116,usa,0.061777275,1,1,0.9984999
usa_12_64,1791,1116,usa,0.08118255,1,1,0.9984999
usa_12_73,1791,1116,usa,0.021959815,1,1,0.9984999
usa_12_99,1791,1116,usa,0.047954064,1,1,0.9984999
usa_43_64,1791,1116,usa,0.018296212,1,1,0.9984999
usa_43_73,1791,1116,usa,0.12450297,1,1,0.9984999
usa_43_99,1791,1116,usa,0.10624419,1,1,0.9984999
usa_64_73,1791,1116,usa,0.26393718,1,1,0.9984999
usa_64_99,1791,1116,usa,0.14590794,1,1,0.9984999
usa_73_99,1791,1116,usa,0.12823778,1,1,0.9984999
usa_12_43,1792,1117,usa,0.0832029,1,1,0.9992448
usa_12_64,1792,1117,usa,0.0948409,1,1,0.9992448
usa_12_73,1792,1117,usa,0.04857664,1,1,0.9992448
usa_12_99,1792,1117,usa,0.07225016,1,1,0.9992448
usa_43_64,1792,1117,usa,0.045604426,1,1,0.9992448
usa_43_73,1792,1117,usa,0.119138606,1,1,0.9992448
usa_43_99,1792,1117,usa,0.110592,1,1,0.9992448
usa_64_73,1792,1117,usa,0.17497346,1,1,0.9992448
usa_64_99,1792,1117,usa,0.13035122,1,1,0.9992448
usa_73_99,1792,1117,usa,0.12046969,1,1,0.9992448
usa_47_84,1793,1118,usa,1.0,0,0,3.1945171e-07
usa_12_43,1794,1119,usa,0.29372057,1,1,0.9988807
usa_12_73,1794,1119,usa,0.10707811,1,1,0.9988807
usa_43_73,1794,1119,usa,0.5992013,1,1,0.9988807
usa_47_84,1795,1120,usa,1.0,0,0,3.19481e-07
usa_12_43,1796,1121,usa,0.2528294,1,1,0.9986512
usa_12_73,1796,1121,usa,0.061025463,1,1,0.9986512
usa_43_73,1796,1121,usa,0.68614507,1,1,0.9986512
usa_12_43,1797,1123,usa,0.1266564,1,1,0.9992175
usa_12_73,1797,1123,usa,0.049481716,1,1,0.9992175
usa_12_99,1797,1123,usa,0.10175682,1,1,0.9992175
usa_43_73,1797,1123,usa,0.2486524,1,1,0.9992175
usa_43_99,1797,1123,usa,0.21522455,1,1,0.9992175
usa_73_99,1797,1123,usa,0.25822806,1,1,0.9992175
usa_26_104,1798,1129,usa,1.0,0,0,6.925181e-05
usa_92_104,1799,1130,usa,0.07971238,1,0,3.459012e-05
usa_92_106,1799,1130,usa,0.5339031,0,0,3.459012e-05
usa_104_106,1799,1130,usa,0.38638452,0,0,3.459012e-05
usa_15_113,1800,1133,usa,1.0,0,0,2.010921e-08
usa_21_47,1801,1134,usa,0.3664308,0,0,2.3776798e-07
usa_47_84,1801,1134,usa,0.44587266,0,0,2.3776798e-07
usa_21_84,1801,1134,usa,0.18769658,0,0,2.3776798e-07
usa_26_47,1802,1135,usa,0.4726486,0,0,2.57686e-05
usa_47_104,1802,1135,usa,0.25892243,0,0,2.57686e-05
usa_26_104,1802,1135,usa,0.26842895,0,0,2.57686e-05
usa_26_104,1803,1136,usa,0.057310354,0,0,2.8189095e-05
usa_47_104,1803,1136,usa,0.049946833,0,0,2.8189095e-05
usa_92_104,1803,1136,usa,0.014705131,1,0,2.8189095e-05
usa_26_47,1803,1136,usa,0.48986962,0,0,2.8189095e-05
usa_26_92,1803,1136,usa,0.27894437,0,0,2.8189095e-05
usa_47_92,1803,1136,usa,0.10922363,0,0,2.8189095e-05
usa_21_47,1804,1137,usa,0.19473147,0,0,2.9786974e-05
usa_21_84,1804,1137,usa,0.13767478,0,0,2.9786974e-05
usa_21_104,1804,1137,usa,0.17173441,0,0,2.9786974e-05
usa_47_84,1804,1137,usa,0.21664576,0,0,2.9786974e-05
usa_47_104,1804,1137,usa,0.09986389,0,0,2.9786974e-05
usa_84_104,1804,1137,usa,0.17934965,0,0,2.9786974e-05
usa_10_106,1805,1138,usa,1.0,0,0,6.816761e-07
usa_92_106,1806,1139,usa,1.0,0,0,4.5709035e-05
