node_idx,tender_id,country,n_pairs,entropy,max_attention,normalised_entropy,tender_label,pred_prob
2384,2067,usa,6,1.7287076711654663,0.23258067667484283,0.964810121478106,0,6.86801868710063e-08
2386,2070,usa,6,1.6660077571868896,0.24765944480895996,0.9298166332028132,0,9.113002306548879e-05
2388,2075,usa,3,1.000593662261963,0.5468525290489197,0.910779601305044,0,7.640584954060614e-05
2400,2105,usa,3,0.7876699566841125,0.5493353605270386,0.7169680922093411,0,9.013037197291851e-05
2403,2114,usa,3,1.0730817317962646,0.41042301058769226,0.9767610856576192,0,1.7155311070382595e-05
2404,2115,usa,3,1.0214903354644775,0.49994581937789917,0.9298005729599746,0,1.487253848608816e-05
2405,2116,usa,3,0.8862709999084473,0.5444841384887695,0.8067186295384589,0,3.105017094640061e-05
2407,2118,usa,6,1.6609715223312378,0.28806284070014954,0.9270058570120662,0,5.716594387195073e-05
2409,2121,usa,3,0.9519839286804199,0.50434809923172,0.8665331150032437,0,5.1772440201602876e-05
2412,2125,usa,3,1.0934022665023804,0.37956660985946655,0.9952576334531578,0,5.83934124733787e-05
2414,2131,usa,3,1.0724447965621948,0.4434501826763153,0.9761813222227481,0,1.0683083019102924e-05
2416,2133,usa,3,1.0765751600265503,0.4342259466648102,0.9799409410682308,0,1.3179012057662476e-05
2419,2137,usa,3,1.0902743339538574,0.39496177434921265,0.9924104665492494,0,2.6633460947778076e-05
2424,2143,usa,2,0.6931145191192627,0.5040407180786133,0.9999528795014989,0,6.042472250555875e-06
2426,2154,usa,3,0.9361913204193115,0.5144273042678833,0.8521580634732318,0,3.910539817297831e-05
2427,2155,usa,3,0.928781270980835,0.5188873410224915,0.8454131458030862,0,4.0330800402443856e-05
2429,2158,usa,6,1.7516121864318848,0.248280867934227,0.9775933748442993,0,0.00013111039879731834
2430,2159,usa,3,1.082749843597412,0.4174843728542328,0.9855613802664375,0,0.00018812163034453988
2431,2161,usa,3,0.6822357177734375,0.7084208130836487,0.620997712123299,1,0.9988700747489929
2434,2170,usa,6,1.7816007137298584,0.20420677959918976,0.9943302906039206,0,2.0011343337955623e-07
2435,2171,usa,6,1.7527756690979004,0.24938315153121948,0.9782427268840108,0,8.451966277789325e-05
2436,2172,usa,5,1.5969295501708984,0.24207736551761627,0.9922281175517456,0,4.180021278443746e-05
2445,2191,usa,2,0.6931387186050415,0.5020566582679749,0.9999877919796241,0,9.041519888342009e-07
2446,2192,usa,3,1.0839165449142456,0.4152863323688507,0.9866233575707765,0,2.6040663669846253e-07
2448,2194,usa,3,1.0839165449142456,0.4152863323688507,0.9866233575707765,0,2.6040663669846253e-07
2449,2195,usa,3,1.0839165449142456,0.4152863323688507,0.9866233575707765,0,2.6040663669846253e-07
2450,2196,usa,3,1.001751184463501,0.5461304187774658,0.9118332234185754,1,0.9995406866073608
2451,2197,usa,3,1.0839165449142456,0.4152863323688507,0.9866233575707765,0,2.6040663669846253e-07
2452,2198,usa,3,1.001751184463501,0.5461304187774658,0.9118332234185754,1,0.9995406866073608
2453,2199,usa,3,1.0839165449142456,0.4152863323688507,0.9866233575707765,0,2.6040663669846253e-07
2454,2200,usa,3,1.0972943305969238,0.35044118762016296,0.9988003428645571,0,2.683709112716315e-07
2457,2205,usa,3,0.9647884368896484,0.4963567554950714,0.8781882806529488,0,5.4207368521019816e-05
2459,2211,usa,6,1.7277679443359375,0.24622760713100433,0.9642856499484906,0,1.9359235011506826e-05
2460,2213,usa,3,0.894545316696167,0.646314799785614,0.8142502372521783,0,1.2903249626106117e-05
2461,2214,usa,6,1.6758503913879395,0.3039090931415558,0.9353099119436759,0,7.6867057941854e-05
2462,2215,usa,3,1.0690462589263916,0.40996479988098145,0.9730878399534724,0,1.8766597349895164e-05
2464,2217,usa,3,0.9625715017318726,0.5873201489448547,0.8761703393094531,0,1.8208898836746812e-05
2465,2218,usa,3,1.0971763134002686,0.35873132944107056,0.9986929189827449,0,4.030334821436554e-05
2468,2221,usa,6,1.7730464935302734,0.2163078337907791,0.9895560894086729,1,0.9995847344398499
2470,2226,usa,3,0.928288459777832,0.5932392477989197,0.8449645697147918,0,3.9213395211845636e-05
2471,2227,usa,3,1.0873754024505615,0.39569270610809326,0.9897717453796451,1,0.9998959302902222
2472,2228,usa,3,1.0655778646469116,0.4133048355579376,0.9699307714268816,0,0.00017922694678418338
2474,2235,usa,5,1.422778844833374,0.3447471857070923,0.8840222004473446,1,0.999403715133667
2475,2236,usa,3,1.0642260313034058,0.45994168519973755,0.9687002796897605,0,2.2418989829020575e-05
2476,2238,usa,3,0.9952669143676758,0.4832983911037445,0.905930986421312,0,0.00011840923252748325
2479,2244,usa,3,1.0556411743164062,0.4251815676689148,0.960886006105212,1,0.9993224143981934
