node_idx,tender_id,country,n_pairs,entropy,normalised_entropy,max_attention,top_pair,top_pair_is_cartel,tender_label,pred_prob
196,105,japan,13,2.527236274923052,0.9852967535484567,0.10433947294950485,japan_754_776,0,0,0.00045347001287154853
197,106,japan,4,1.3295169610399675,0.9590437632350632,0.35033008456230164,japan_273_678,0,0,0.2969880700111389
198,107,japan,33,3.417854239658489,0.9775051761149336,0.06785125285387039,japan_586_1151,0,0,0.0003580718766897917
199,108,japan,9,2.1588852748761505,0.9825510314896672,0.18388965725898743,japan_778_1215,0,0,6.525254138978198e-05
200,109,japan,11,2.3749486691653736,0.990430523011867,0.13809426128864288,japan_561_1026,0,0,0.005738327279686928
201,110,japan,25,3.142263261181791,0.9761989688777304,0.1130736917257309,japan_601_835,0,0,0.0007878299802541733
202,111,japan,9,2.1911642579107484,0.9972418297665238,0.13036911189556122,japan_296_1592,0,0,0.0030202947091311216
203,112,japan,31,3.405565728759214,0.9917234765205849,0.04481039196252823,japan_1014_1428,0,0,0.0009451794903725386
204,113,japan,19,2.8466081459802055,0.9667743723410663,0.10006263852119446,japan_790_943,0,0,3.082652619923465e-05
205,114,japan,53,3.8991373981837367,0.982078266052552,0.03221458941698074,japan_813_876,0,0,0.001167046488262713
206,115,japan,13,2.507839020878107,0.9777343219594985,0.13353917002677917,japan_1242_1519,0,0,0.00029757150332443416
207,116,japan,27,3.205423584118136,0.9725674280730392,0.11082792282104492,japan_984_1279,0,0,0.0003740584943443537
208,117,japan,21,2.9485207097615205,0.96846739351552,0.10236218571662903,japan_502_517,0,0,0.000273052864940837
209,118,japan,21,2.3803879414710067,0.7818592209985384,0.2939951717853546,japan_914_1157,0,0,8.340149361174554e-05
210,119,japan,22,3.024834751742139,0.9785807854097104,0.09412391483783722,japan_1079_1272,0,0,4.484285454964265e-05
211,120,japan,27,3.2647238544008266,0.9905599054599987,0.06066015362739563,japan_246_913,0,0,3.201256549800746e-05
212,121,japan,25,3.118469188403008,0.9688069245512744,0.10442201048135757,japan_812_1413,0,0,0.0005308148101903498
213,122,japan,38,3.5257950645422684,0.9692677808097538,0.08166138827800751,japan_246_1100,0,0,5.511854760698043e-05
214,123,japan,39,3.6194773841864496,0.9879668294950709,0.05814521759748459,japan_346_772,0,0,0.00011613631068030372
215,124,japan,30,3.3469465772638256,0.984049498364656,0.09449566155672073,japan_798_1237,0,0,3.4565426176413894e-05
216,125,japan,7,1.8885419122981173,0.9705185582258016,0.21587726473808289,japan_206_237,0,0,0.10178602486848831
217,126,japan,27,3.221578378595896,0.9774690039502897,0.07126347720623016,japan_1279_1391,0,0,0.002017166232690215
218,127,japan,25,3.133059462243375,0.97333964797218,0.0839347317814827,japan_1057_1699,0,0,7.03897894709371e-05
219,128,japan,19,2.8955440010354465,0.9833941275479121,0.0948583260178566,japan_368_607,0,0,0.0010791729437187314
220,129,japan,7,1.8519803671650612,0.9517296407874473,0.2638624608516693,japan_849_865,0,0,0.3287872076034546
221,130,japan,10,2.1996940747985954,0.9553149985603088,0.20945869386196136,japan_244_770,1,1,0.9437912106513977
222,131,japan,17,2.7977776804605026,0.9874927655306813,0.08238469064235687,japan_809_1611,1,0,0.00016470602713525295
223,132,japan,25,3.115854425157977,0.9679946026764042,0.09320846945047379,japan_1391_1609,1,1,0.9401887059211731
224,133,japan,3,1.0983975455417863,0.9998045323827719,0.34246864914894104,japan_904_1157,0,0,7.881299825385213e-05
225,134,japan,9,2.1267484343654006,0.9679249250632996,0.17847362160682678,japan_1068_1437,0,0,0.0011497861705720425
226,135,japan,15,2.6484758292039325,0.9780010090381522,0.10362233966588974,japan_966_1477,0,0,0.00028401901363395154
227,136,japan,11,2.3855398288548413,0.9948473796651217,0.11916477233171463,japan_1577_1613,1,1,0.9571593999862671
228,137,japan,24,2.6819111857220843,0.8438847574298193,0.26579007506370544,japan_984_1279,0,0,5.1270268158987164e-05
229,138,japan,19,2.9196490503905412,0.9915807632790825,0.07597681134939194,japan_841_1462,1,0,0.00077715830411762
230,139,japan,25,3.0775593549531317,0.9560975702065627,0.10717539489269257,japan_596_790,0,0,4.1086783312493935e-05
231,140,japan,8,2.057185154852367,0.9892969403653015,0.19289885461330414,japan_945_963,0,0,0.004407829605042934
232,141,japan,9,2.179754046755892,0.9920488188779011,0.15444155037403107,japan_1038_1183,0,0,0.009727377444505692
